smoothing_window,alpha_hat,rho_hat,k_hat,r_squared,adj_r_squared
1,-0.007068448063360204,0.26593844118978893,0.7340615588102111,0.03993241509293666,0.039806595345225904
2,0.019846717599116027,0.4349840619614451,0.5650159380385549,0.4791096343908724,0.4790413701400882
3,0.008800009069010819,0.6850361764982249,0.3149638235017751,0.6243100892535203,0.6242608539595361
5,0.0040931025982166086,0.8269750793775825,0.17302492062241748,0.7721822468925086,0.7721523906900176
7,0.0022284144517772508,0.8778567813192024,0.12214321868079758,0.8337944848921703,0.8337727031589801
