n_components,best_bic,median_bic,q25_bic,q75_bic,best_aic,median_max_prob,median_entropy,best_silhouette,mean_ari,min_ari
1,1734.565127247199,1734.565127247199,1734.565127247199,1734.565127247199,1673.5680071022082,1.0,-0.0,,,
2,1685.5374766253685,1685.5374766253685,1685.5374766253685,1685.5374766253685,1560.4933803281376,0.8895590511966511,0.24414985169957204,0.16604313763165654,1.0,1.0
3,1684.5053052380492,1684.705272001276,1684.7052720012755,1685.0724632451836,1495.414232788578,0.9126552022306255,0.21466161491426022,0.17303888527668704,0.9523374131582077,0.8363466455586613
4,1661.7880881784422,1734.5291872442585,1677.531415613781,1745.4371488458512,1408.6500395767307,0.9073944299385099,0.23704984491124867,0.17764180939264315,0.4814179239617573,0.13806876877848667
5,1727.1917946660692,1738.7806462124947,1732.220795933811,1793.252262079429,1410.0067699121173,0.8867051729813545,0.27327582355181146,0.1299714095937821,0.3657383693926324,0.08863373418530422
6,1751.4256771108858,1790.682621328317,1767.736052581296,1800.2792398204735,1370.1936762046935,0.9030527993909664,0.24982474043568864,0.0787889036846833,0.32431224421516575,0.1809131933616383
