model,rmse,mae,r_squared,rmse_gain_vs_ode,r2_gain_vs_ode
Persistence only,10.659608474678492,8.377624550831491,0.6025417714721278,-0.29384956573344745,-0.021611137773937084
ODE transition,10.365758908945045,8.159437291249,0.6241529092460649,0.0,0.0
ODE + quadratic workload,10.360617025102346,8.156036183864469,0.6245256909750778,0.005141883842698647,0.0003727817290128943
ODE + interaction,10.358480209730226,8.152434774687016,0.6246805536703474,0.007278699214818829,0.0005276444242824363
ODE + quadratic y and u,10.3557243350708,8.151413981816985,0.624880234654072,0.010034573874245112,0.000727325408007129
ODE + quadratic + interaction,10.356559578115696,8.151969377556602,0.6248197214924311,0.00919933082934854,0.0006668122463662218
Contextual benchmark,10.034464382468355,7.91937101598623,0.6477934914269314,0.33129452647668955,0.02364058218086651
