workload_definition,standardized_alpha_hat,rho_hat,k_hat,r_squared,adj_r_squared
training_load,2.890985779969657,0.6850361764982251,0.3149638235017749,0.6243100892535205,0.6242608539595363
training_intensity x training_duration,1.157108976045186,0.7517297317251651,0.2482702682748349,0.6069432482284033,0.6068917369576122
