cluster_label,athletes,mean_onset_y,mean_drop_y_1,mean_drop_y_3,mean_drop_y_5,mean_rec_post3,mean_rec_post5,mean_u_drop_3,mean_onset_count,mean_assignment_prob
Faster recovery (illustrative),36,79.40857036459633,19.671846391534153,25.28117229178695,22.32365712752014,57.50838673197924,57.956626889883765,258.6503627984009,9.222222222222221,0.9251654738690408
Slower recovery (illustrative),120,75.07899025840047,15.24300445399342,15.457439601496493,15.610227126343437,55.23498564734794,55.26678037129179,102.05196875223447,12.683333333333334,0.9952899935407945
