parameter,ci_lower,median,ci_upper
alpha_hat,0.00801589463861091,0.00885626236231007,0.009548087489888795
rho_hat,0.6745669117383334,0.6846377985601431,0.6964287695716688
k_hat,0.30357123042833123,0.315362201439857,0.32543308826166667
