onset_y,drop_y_1,drop_y_3,rec_post3,u_drop_1,u_drop_3,athlete_id,onset_count
75.01077733808889,11.417076586641466,23.823339786509127,56.63055723205284,153.0019654800171,232.7014895564074,1,13
82.74280477506868,8.305962594519237,16.58542593537841,54.77063506608988,36.52620784601745,190.71660035870664,2,11
72.12366832183199,13.861873595025036,15.087431261891156,60.99833682315118,94.71482578122264,70.68970262769919,3,11
67.12893029083747,-6.610950417479993,18.926658785164854,57.278843794073495,-187.99844422059454,105.51387984307912,4,10
68.9830060325551,4.6544045581415805,14.007181774583037,50.699791365917946,53.083014304774295,30.26584682204541,5,16
79.72686220658723,10.512917573974388,17.293842575915033,56.362066628990455,181.87987522337585,191.60338812450846,6,12
75.78768294612398,27.253620087395166,17.366797852406105,59.3726908384661,324.8366672617425,359.35824438768225,7,8
71.14687562410329,6.4078187704425495,6.723251878480692,50.487626878935885,147.50636118189246,80.83935881786648,8,18
61.72191964354955,0.5115682138877157,-1.7438962423377926,60.024539053485604,51.2836574143224,-33.934936927478624,9,12
84.67642757327359,9.345822520415975,5.027930127814335,48.652232228036766,-120.04781606643631,-107.69317551843505,10,13
62.71096034930292,8.88279249863085,12.68559919355539,62.05983969181779,106.10845717082945,211.12203368902595,11,9
90.66572731144419,41.56266102508963,29.4984842095865,55.038950988396266,292.5078949505733,181.87650200342944,12,16
74.11731340240378,12.036742325031227,7.631015524057733,54.374621454697596,127.29865991264218,80.24029210207715,13,8
78.3823299337619,32.299280345994106,32.22784460366001,63.41504551761856,254.99455965242456,244.34244260010323,14,9
85.0527746852684,33.89699909088409,30.17420312235793,58.24614497714341,260.9144684635749,264.87787686700466,15,9
73.38785741595842,5.543147767316205,9.189341935193015,56.04930050294986,-50.88478640531032,-1.9866444120371818,16,13
77.37486186654878,6.013908570476726,17.204666618598438,52.54750757277955,136.19032952173012,196.8052547967891,17,16
79.7658885423994,22.466420027245263,19.47273210164879,60.23819101789021,147.60678456157618,148.90893097675902,18,12
73.09682314160798,2.8503388631164817,11.0421338292696,51.176623665229094,-26.32933671282086,134.48368108859293,19,13
69.91024126017768,17.75105266119984,18.91512886857063,56.2300015367085,190.95027434440132,122.81340941055149,20,13
65.9675751818098,3.990637251975288,26.165059924363703,60.82040892147122,-30.053733705286035,321.68782202475387,21,12
87.26788532623857,31.225078247120454,27.9313674936649,48.257321758226944,168.13065384908504,148.9104488577868,22,14
66.58950778319986,17.166492800243294,15.174244145909018,56.555799513727635,53.36114731660692,-123.28762195183367,23,8
76.01924505884975,23.396271132990837,19.970016745515814,58.78625931726204,213.4003634428796,151.36644884325503,24,14
85.34306745706881,17.64113553834949,31.746104061153968,57.38592268814002,7.820739879174394,217.83801129250548,25,11
