lag,coefficient,std_error,pvalue
0,0.022623147144356946,0.0002477995220745669,0.0
1,0.02333766849634767,0.0002348104239695905,0.0
2,0.02250698292876467,0.00023238872096727144,0.0
3,0.0027147876578368195,0.00024369546512166432,8.004490131591909e-29
4,0.0017115472538522828,0.0002598400373252073,4.490241161638324e-11
5,0.0008038626617881712,0.00026638866435922215,0.0025475899818448596
