metric,value
residual mean,-1.2428539446151774e-13
residual standard deviation,10.363930686602831
residual skewness,0.37293353133510243
residual excess kurtosis,0.6778615999450759
median athlete lag-1 residual correlation,0.03752119726670475
mean athlete lag-1 residual correlation,0.03889384687391173
